"file_name","type","desc","time"
"iteachmath2020-10-13_22_27_02.csv","tag","#iteachmath","2020-10-13_22_27_02"
"mtbos2020-10-14_00_04_21.csv"," tag","#mtbos","2020-10-13_22_27_02"
"mathchat2020-10-14_15_31_43.csv","tag","#mathchat","2020-10-14_15_31_43"
"math2020-10-14_15_43_12.csv","tag","#math","2020-10-14_15_43_12"
"EdTech2020-10-14_19_58_48.csv","tag","#EdTech","2020-10-14_19_58_48"
"edchat2020-10-14_20_58_44.csv","tag","#edchat","2020-10-14_20_58_44"
"mathchat2020-10-14_21_00_27.csv","tag","#mathchat","2020-10-14_21_00_27"
"mtbos2020-10-14_22_23_06.csv","tag","#mtbos","2020-10-14_22_23_06"
"iteachmath2020-10-14_22_23_34.csv","tag","#iteachmath","2020-10-14_22_23_34"
"mathed2020-10-16_16_12_17.csv","tag","#mathed","2020-10-16_16_12_17"
"mathedchat2020-10-16_16_12_58.csv","tag","#mathedchat","2020-10-16_16_12_58"
"hsmathchat2020-10-19_08_46_40.csv","tag","#hsmathchat","2020-10-19_08_46_40"
"mtbos2020-10-19_08_48_01.csv","tag","#mtbos","2020-10-19_08_48_01"
"iteachmath2020-10-19_08_48_57.csv","tag","#iteachmath","2020-10-19_08_48_57"
"mathchat2020-10-22_12_02_42.csv","tag","#mathchat","2020-10-22_12_02_42"
"mathed2020-10-22_12_02_59.csv","tag","#mathed","2020-10-22_12_02_59"
"math2020-10-22_13_27_58.csv","tag","#math","2020-10-22_13_27_58"
"hsmathchat2020-10-22_13_45_00.csv","tag","#hsmathchat","2020-10-22_13_45_00"
"edchat2020-10-22_13_45_59.csv","tag","#edchat","2020-10-22_13_45_59"
"mtbos2020-10-26_21_40_42.csv","tag","#mtbos","2020-10-26_21_40_42"
"iteachmath2020-10-26_21_41_04.csv","tag","#iteachmath","2020-10-26_21_41_04"
"mathed2020-10-26_22_33_24.csv","tag","#mathed","2020-10-26_22_33_24"
"mathstalk2020-10-26_22_55_50.csv","tag","#mathstalk","2020-10-26_22_55_50"
"HoagieHomies2020-10-26_23_01_31.csv","tag","#HoagieHomies","2020-10-26_23_01_31"
"mathchat2020-10-26_23_05_21.csv","tag","#mathchat","2020-10-26_23_05_21"
"mathchat2020-10-29_10_28_04.csv","tag","#mathchat","2020-10-29_10_28_04"
"mathed2020-10-29_12_30_13.csv","tag","#mathed","2020-10-29_12_30_13"
