"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1630767938","x1367580531869835265",2021-03-04 20:59:41,"GlobalMathDept","@MathUncensored @ArisWinger @minoritymath 
Math fam: Can we start a thread where we list questions minority students should be asking grad programs after they receive an acceptance? I'll start!","Twitter Web App",139,,,,FALSE,TRUE,0,17,,,,,,,,,,,,,,,,"x1294246904847622145 x1358944393345040384 x328528264 x1268206407368794112","DPeharris MathUncensored ArisWinger minoritymath","en",,,,,,,,,,,,,,,,"x1367482632964083716","@MathUncensored @ArisWinger @minoritymath 
Math fam: Can we start a thread where we list questions minority students should be asking grad programs after they receive an acceptance? I'll start!",2021-03-04 14:30:40,"Twitter Web App",30,17,"x1294246904847622145","DPeharris","PamelaEHarrisPhD",826,286,272,"North Adams, MA","Latina mathematician",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367580531869835265","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367552069603885058",2021-03-04 19:06:35,"GlobalMathDept","I helped make a booklet with @theJRMF about puzzles that you can solve by cutting, sticking and rearranging... and it has turned out looking completely beautiful 😍

There are some really fun puzzles in here! Take a look: https://t.co/oiuHMWfKPl","Twitter Web App",140,,,,FALSE,TRUE,0,18,,,,,,,,,,,,,,,,"x959183621893574656 x1043269232341991424","Cshearer41 theJRMF","en",,,,,,,,,,,,,,,,"x1367543079583035398","I helped make a booklet with @theJRMF about puzzles that you can solve by cutting, sticking and rearranging... and it has turned out looking completely beautiful 😍

There are some really fun puzzles in here! Take a look: https://t.co/oiuHMWfKPl",2021-03-04 18:30:52,"Twitter Web App",73,18,"x959183621893574656","Cshearer41","Catriona Agg",26189,1527,3972,"","Maths teacher and fan of geometric puzzles.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367552069603885058","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367512363671429125",2021-03-04 16:28:49,"GlobalMathDept","We started this program out of the need to give opportunities to US base latinx students to do math with a bunch of people who looked and talked like them and to build connections with Latin America. (1/2) https://t.co/tv8gt3l2Ks","Twitter Web App",139,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x3331526883","AliciaPL25","en",,,,,,,,,,,,,,,,"x1367503406777180168","We started this program out of the need to give opportunities to US base latinx students to do math with a bunch of people who looked and talked like them and to build connections with Latin America. (1/2) https://t.co/tv8gt3l2Ks",2021-03-04 15:53:13,"Twitter Web App",10,6,"x3331526883","AliciaPL25","Dr. APrietoLangarica",1083,869,3303,"","Latinx Mathematician, Educator, Social Justice Warrior (in training).",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367512363671429125","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367331636707262468",2021-03-04 04:30:40,"GlobalMathDept","What speakers/panelists would you like to see if there is another LGBTQ+Math day? Self-nominations allowed.","Twitter Web App",127,,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,,,"x3433220662","Anthony_Bonato","en",,,,,,,,,,,,,,,,"x1367241802885959680","What speakers/panelists would you like to see if there is another LGBTQ+Math day? Self-nominations allowed.",2021-03-03 22:33:42,"Twitter Web App",22,8,"x3433220662","Anthony_Bonato","Anthony Bonato",3015,368,9848,"Toronto, Ontario","Gay mathematician at Ryerson U. He/him/his. Researcher on complex networks and network science. Writer, speaker, LGBTQ+ activist.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367331636707262468","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367299731186155526",2021-03-04 02:23:53,"GlobalMathDept","@mathyadriana @maanow @amermathsoc @ReadPRIMUS @mathyawp @CatBPhD @GizemKaraali_ @BatesCollege if it helps, I have a database of open-access postsecondary SJ math resources here: https://t.co/Fv9v1YPqs7","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x773191067797561344 x776450766710136832 x49666871 x143170980 x1119572826 x100728306 x3331528947 x2422385298 x15946645","kenandoesmath mathyadriana maanow amermathsoc ReadPRIMUS mathyawp CatBPhD GizemKaraali_ BatesCollege","en",,,,,,,,,,,,,,,,"x1367223211834961925","@mathyadriana @maanow @amermathsoc @ReadPRIMUS @mathyawp @CatBPhD @GizemKaraali_ @BatesCollege if it helps, I have a database of open-access postsecondary SJ math resources here: https://t.co/Fv9v1YPqs7",2021-03-03 21:19:50,"Twitter Web App",12,3,"x773191067797561344","kenandoesmath","Kenan İnce (they/them) #BlackLivesMatter",583,645,587,"Ute, Goshute, & Shoshone lands","Queer, nonbinary Turkish-Texan mathematician | Assistant Professor @WestminsterSLC into knots, poetry, & justice | Personal account @kaince | Opinions my own",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367299731186155526","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367299710277595142",2021-03-04 02:23:48,"GlobalMathDept","Time to start planning for Module D — math for social justice! Super grateful for all the work folks have done already... got some reading to do though!!! @maanow @amermathsoc @ReadPRIMUS @mathyawp @CatBPhD @GizemKaraali_ @BatesCollege https://t.co/oQlibaKdAU","Twitter Web App",140,,,,FALSE,TRUE,0,15,,,,,,,,,,,,,,,,"x776450766710136832","mathyadriana","en",,,,,,,,,,,,,,,,"x1367193673138659329","Time to start planning for Module D — math for social justice! Super grateful for all the work folks have done already... got some reading to do though!!! @maanow @amermathsoc @ReadPRIMUS @mathyawp @CatBPhD @GizemKaraali_ @BatesCollege https://t.co/oQlibaKdAU",2021-03-03 19:22:27,"Twitter for iPhone",109,15,"x776450766710136832","mathyadriana","Dr. Adriana Salerno Domínguez 🇻🇪",2880,756,5228,"Portland, ME","Math prof @BatesCollege. Former Visiting Mathematician at @maanow. Venezuelan, music, movie and TV lover, nerd, Jefa. #Blacklivesmatter. (She/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367299710277595142","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367235502311698432",2021-03-03 22:08:40,"GlobalMathDept","See you today at 4pm for the Role of Curriculum Design in Promoting Equity in #Math with @utdanacenter  #mathequity #mtbos #iteachmath https://t.co/iqEmmUF0sC","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,"Math mathequity mtbos",,,,,,,,,,,,,"x1225441411 x180828971","todosmath utdanacenter","en",,,,,,,,,,,,,,,,"x1366817519214895106","See you today at 4pm for the Role of Curriculum Design in Promoting Equity in #Math with @utdanacenter  #mathequity #mtbos #iteachmath https://t.co/iqEmmUF0sC",2021-03-02 18:27:45,"Twitter for iPhone",9,3,"x1225441411","todosmath","TODOS",4096,609,5443,"","TODOS: Mathematics for ALL. We advocate for #equity & high quality #MathEd for all students—in particular, Latina/o students. #mathequity #todosmaths",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367235502311698432","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367223967585558534",2021-03-03 21:22:50,"GlobalMathDept","Join us tomorrow 3/4 for Talk Math With Your Friends featuring @kenandoesmath about “Just Mathematics”. #TMWYF @maanow @amermathsoc @TheSIAMNews @MathAMATYC @canmathsociety @NCTM @todosmath #JustMathCollective @JUST_Equations @TMWYFriends

Zoom &amp; schedule:
https://t.co/sQRoAhNUd0 https://t.co/KPnygGabzN","Twitter Web App",140,,,,FALSE,TRUE,0,14,,,"TMWYF",,,,,,,,,,,,,"x1693739557 x773191067797561344 x49666871","thewordninja_bk kenandoesmath maanow","en",,,,,,,,,,,,,,,,"x1367222391856787459","Join us tomorrow 3/4 for Talk Math With Your Friends featuring @kenandoesmath about “Just Mathematics”. #TMWYF @maanow @amermathsoc @TheSIAMNews @MathAMATYC @canmathsociety @NCTM @todosmath #JustMathCollective @JUST_Equations @TMWYFriends

Zoom &amp; schedule:
https://t.co/sQRoAhNUd0 https://t.co/KPnygGabzN",2021-03-03 21:16:34,"Twitter for iPhone",30,14,"x1693739557","thewordninja_bk","Brian Katz (BK)",1094,664,6079,"","Word ninja, teacher, singer, cat fancier, queer mathematician, magical creature. Yes, the hair is real. Pronouns: no preference",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367223967585558534","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367213934500073473",2021-03-03 20:42:58,"GlobalMathDept","It is an honor to serve. I am humbled and excited to begin. https://t.co/OKStINsZ60","Twitter Web App",100,,,,FALSE,TRUE,0,11,,,,,"twitter.com/todosmath/stat…","https://t.co/OKStINsZ60","https://twitter.com/todosmath/status/1367212656692584450",,,,,,,,,"x802064767921909760","DingleTeach","en",,,,,,,,,,,,,,,,"x1367213174697639939","It is an honor to serve. I am humbled and excited to begin. https://t.co/OKStINsZ60",2021-03-03 20:39:57,"Twitter Web App",392,11,"x802064767921909760","DingleTeach","Marian Dingle",13883,1783,60942,"Georgia, USA","God. Love. Family. Mathematics. Living to make a difference. Learning to love even my flaws. Walking in authenticity. Opinions mine. (she/her)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367213934500073473","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367213900379340803",2021-03-03 20:42:50,"GlobalMathDept","Congratulations to the new TODOS Board Members @FGlanfield @sceledon1 @DingleTeach.  Their term of service begins May 1st.","Twitter Web App",137,,,,FALSE,TRUE,0,19,,,,,,,,,,,,,,,,"x1225441411 x572070016 x2653883748 x802064767921909760","todosmath FGlanfield sceledon1 DingleTeach","en",,,,,,,,,,,,,,,,"x1367212656692584450","Congratulations to the new TODOS Board Members @FGlanfield @sceledon1 @DingleTeach.  Their term of service begins May 1st.",2021-03-03 20:37:53,"Twitter for iPhone",152,19,"x1225441411","todosmath","TODOS",4096,609,5443,"","TODOS: Mathematics for ALL. We advocate for #equity & high quality #MathEd for all students—in particular, Latina/o students. #mathequity #todosmaths",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367213900379340803","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367167638263234568",2021-03-03 17:39:00,"GlobalMathDept","If you're not reading the Global Math Dept, you're missing out. I'm here for the constant centering of humanity in our math and education spaces. https://t.co/9GNP97oACp","Twitter Web App",140,,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,,,"x2646297942","parkermathed","en",,,,,,,,,,,,,,,,"x1366819887759450115","If you're not reading the Global Math Dept, you're missing out. I'm here for the constant centering of humanity in our math and education spaces. https://t.co/9GNP97oACp",2021-03-02 18:37:10,"Twitter for Android",15,8,"x2646297942","parkermathed","Brett Parker",912,857,5319,"Baltimore, MD","Math Coach, Dad, Husband, Math and Science Lover #MTBOS
Tweets are my own.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367167638263234568","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367167572483989508",2021-03-03 17:38:44,"GlobalMathDept","from @melvinmperalta:
Anti-Asian Violence

""The math &amp; science edu communities bear a special responsibility for combating anti-Asian biases &amp; stereotypes""

cc #MTBoS #iTeachMath #MiseducAsian
bcc #edutwitter 

full @GlobalMathDept Newsletter in the images below.
#GMDWrites! 📸↘️ https://t.co/BTubiH3T8m https://t.co/MKfJBK2SDs","Twitter Web App",144,,,,FALSE,TRUE,0,6,,,,,,,,,,,,,,,,"x1630767938 x2288914255","GlobalMathDept melvinmperalta","en",,,,,,,,,,,,,,,,"x1366800351752556556","from @melvinmperalta:
Anti-Asian Violence

""The math &amp; science edu communities bear a special responsibility for combating anti-Asian biases &amp; stereotypes""

cc #MTBoS #iTeachMath #MiseducAsian
bcc #edutwitter 

full @GlobalMathDept Newsletter in the images below.
#GMDWrites! 📸↘️ https://t.co/BTubiH3T8m https://t.co/MKfJBK2SDs",2021-03-02 17:19:32,"Twitter Web App",12,6,"x1630767938","GlobalMathDept","Global Math Department 🌍🌎🌏🧮",5635,277,4727,"The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367167572483989508","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367167561398439947",2021-03-03 17:38:42,"GlobalMathDept","from guest contributor @professorbrenda:
#Eventmath: a math educators community resource for lessons paired with news articles and social media posts

cc #MTBoS #iTeachMath #Eventmath
bcc #edutwitter 

full @GlobalMathDept Newsletter in the images below.
#GMDWrites!

📸:1⃣ of 2⃣ https://t.co/BTubiH3T8m https://t.co/syuJIII2Ab","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,"Eventmath",,,,,,,,,,,,,"x1630767938 x2968906072","GlobalMathDept professorbrenda","en",,,,,,,,,,,,,,,,"x1366801744458612739","from guest contributor @professorbrenda:
#Eventmath: a math educators community resource for lessons paired with news articles and social media posts

cc #MTBoS #iTeachMath #Eventmath
bcc #edutwitter 

full @GlobalMathDept Newsletter in the images below.
#GMDWrites!

📸:1⃣ of 2⃣ https://t.co/BTubiH3T8m https://t.co/syuJIII2Ab",2021-03-02 17:25:04,"Twitter Web App",9,3,"x1630767938","GlobalMathDept","Global Math Department 🌍🌎🌏🧮",5635,277,4727,"The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367167561398439947","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367167549952114700",2021-03-03 17:38:39,"GlobalMathDept","' “I thought all Asians are good at math”. We’ve all heard this. It’s not flattering, it’s racism disguised as a compliment, pervasive in math classrooms, and consistent with the racism and xenophobia that have simply become less bashful in the era of COVID.' https://t.co/IU6FPUpkwH","Twitter Web App",140,,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,,,"x13015022","virtualcourtney","en",,,,,,,,,,,,,,,,"x1366802340293079044","' “I thought all Asians are good at math”. We’ve all heard this. It’s not flattering, it’s racism disguised as a compliment, pervasive in math classrooms, and consistent with the racism and xenophobia that have simply become less bashful in the era of COVID.' https://t.co/IU6FPUpkwH",2021-03-02 17:27:26,"Twitter for Android",12,4,"x13015022","virtualcourtney","Dr. Courtney Gibbons (she/her)",2722,1878,17502,"Clinton, NY","Three degrees of mathematician (comm alg). Prof @HamiltonCollege, vegan; ""A good adult, not a boring adult. A fun adult."" tldr: cats. #BlackLivesMatter",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367167549952114700","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367167540540157954",2021-03-03 17:38:37,"GlobalMathDept","this week's #GMDWrites! @GlobalMathDept Newsletter:
https://t.co/6qWhOovrc5

excerpts in the images below:
1⃣ @melvinmperalta on Anti-Asian Violence
2⃣ @professorbrenda on #Eventmath [https://t.co/7DPr10FVEq]

#mtbos #iteachmath #sojustmath #socialjusticemath #sjm

Read it all 👇 https://t.co/qt9VztRt7g https://t.co/pusTBbP1NY","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,"GMDWrites",,"mailchi.mp/3b3023a66171/j…","https://t.co/6qWhOovrc5","https://mailchi.mp/3b3023a66171/jll38bi0dt-2671724",,,,,,,,,"x84445396 x1630767938","benjamindickman GlobalMathDept","en",,,,,,,,,,,,,,,,"x1366804106803830788","this week's #GMDWrites! @GlobalMathDept Newsletter:
https://t.co/6qWhOovrc5

excerpts in the images below:
1⃣ @melvinmperalta on Anti-Asian Violence
2⃣ @professorbrenda on #Eventmath [https://t.co/7DPr10FVEq]

#mtbos #iteachmath #sojustmath #socialjusticemath #sjm

Read it all 👇 https://t.co/qt9VztRt7g https://t.co/pusTBbP1NY",2021-03-02 17:34:27,"Twitter Web App",9,1,"x84445396","benjamindickman","Benjamin Dickman",2123,97,22042,"New York, USA","Math Educator, @hewittschool; @AmherstCollege; @FulbrightPrgrm 中国; @TeachersCollege @Columbia @NSFGRFP Ph.D @TC_MST; #GMDWrites! @GlobalMathDept; #MTBoS; he/him",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367167540540157954","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
"x1630767938","x1367167521183461379",2021-03-03 17:38:32,"GlobalMathDept","Check out the latest edition of The Global Math Department Newsletter! #GMDWrites

https://t.co/N49FEFO6CY","Twitter Web App",126,,,,FALSE,TRUE,0,2,,,"GMDWrites",,"mailchi.mp/3b3023a66171/j…","https://t.co/N49FEFO6CY","https://mailchi.mp/3b3023a66171/jll38bi0dt-2671724",,,,,,,,,"x1630767938","GlobalMathDept","en",,,,,,,,,,,,,,,,"x1366795341799043075","Check out the latest edition of The Global Math Department Newsletter! #GMDWrites

https://t.co/N49FEFO6CY",2021-03-02 16:59:37,"Mailchimp",6,2,"x1630767938","GlobalMathDept","Global Math Department 🌍🌎🌏🧮",5635,277,4727,"The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GlobalMathDept/status/1367167521183461379","Global Math Department 🌍🌎🌏🧮","The Globe 🌍🌎🌏","We're math educators with weekly webinars/newsletters looking to support math teaching and learning. Sign up for our newsletter! https://t.co/pAQ7TxJ5jR #GMDWrites","https://t.co/RaBaNNPg3e",FALSE,5635,277,108,4727,6781,2013-07-29 16:44:01,FALSE,"https://t.co/RaBaNNPg3e","http://globalmathdepartment.org/",,"https://pbs.twimg.com/profile_banners/1630767938/1598125433","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000458057095/ce01db1b1d49a465959839605b450a8f_normal.png"
