"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x90778418","x1367521623117561859",2021-03-04 17:05:36,"MoMath1","#MoMath partnered with artist Anton Bakker to launch Global Perspective, an #augmentedreality exhibit that is garnering attention in cities around the world! Read more about the #exhibit in @El_Universal_Mx, a newspaper based in Mexico City, here: https://t.co/33araePV4s","Twitter Web App",271,,,,FALSE,FALSE,3,1,,,"MoMath augmentedreality exhibit",,"eluniversal.com.mx/cultura/escult…","https://t.co/33araePV4s","https://www.eluniversal.com.mx/cultura/esculturas-de-realidad-aumentada-invaden-bellas-artes",,,,,,,,,"x16676396","El_Universal_Mx","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1367521623117561859","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1367474916220563457",2021-03-04 14:00:01,"MoMath1","What does it mean to “reflect about a circle?” This question has a very definite answer that takes us into a wonderland of new insights about the unity of circles and lines. Register for part four of Professor @PaulAZeitz's series tonight at 6:30pm ET at https://t.co/8X0PB6EknP https://t.co/CraCzUv9wT","Twitter Web App",278,,,,FALSE,FALSE,55,12,,,,,"jumpin.momath.org","https://t.co/8X0PB6EknP","http://jumpin.momath.org","http://pbs.twimg.com/tweet_video_thumb/EvLzdnZWQAIKv9A.jpg","https://t.co/CraCzUv9wT","https://twitter.com/MoMath1/status/1367474916220563457/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EvLzdnZWQAIKv9A.jpg","https://t.co/CraCzUv9wT","https://twitter.com/MoMath1/status/1367474916220563457/photo/1",,"x1656559470","PaulAZeitz","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1367474916220563457","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1367112533744644101",2021-03-03 14:00:02,"MoMath1","Mathematical modeling has come to the forefront during the #COVID19 pandemic. Join Professor of Applied Mathematics at @UWaterloo, Dr. @cbauch1, today at 4pm &amp; 7pm ET as he sketches the #math behind #flatteningthecurve &amp; #herdimmunity. Register for FREE at https://t.co/2UmOyA0YGB https://t.co/qIidmalHs6","Twitter Web App",288,,,,FALSE,FALSE,15,5,,,"COVID19 math flatteningthecurve herdimmunity",,"mathencounters.org","https://t.co/2UmOyA0YGB","http://mathencounters.org","http://pbs.twimg.com/media/EvLwf59WQAI-u7A.jpg","https://t.co/qIidmalHs6","https://twitter.com/MoMath1/status/1367112533744644101/photo/1","photo","http://pbs.twimg.com/media/EvLwf59WQAI-u7A.jpg","https://t.co/qIidmalHs6","https://twitter.com/MoMath1/status/1367112533744644101/photo/1",,"x84321709 x2577182772","UWaterloo cbauch1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1367112533744644101","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1366764998333243395",2021-03-02 14:59:03,"MoMath1","Thanks for commenting your answers! The correct answer to yesterday's #MathMonday question is that the children are 9, 9, and 19 so Sum = 37 and Sum of Cubes = 8317. Smith guessed (5, 16, 16) for the ages. Two years ago, the ages were (7, 7, 17) and Jones guessed (3, 13, 15).","Twitter Web App",276,"x1366402850541105154","x90778418","MoMath1",FALSE,FALSE,3,0,,,"MathMonday",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1366764998333243395","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1366488318687535107",2021-03-01 20:39:37,"MoMath1","Anton Bakker's math-y, augmented reality sculpture has more than a casual relationship with Pokemon Go. 
https://t.co/SrvLOF92hi","Twitter Web App",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1002345512819970048","MarkJenkinsDC","en",,,,,,,,,,,,,,,,"x1364984289696317451","Anton Bakker's math-y, augmented reality sculpture has more than a casual relationship with Pokemon Go. 
https://t.co/SrvLOF92hi",2021-02-25 17:03:09,"Twitter Web App",8,2,"x1002345512819970048","MarkJenkinsDC","Mark Jenkins",477,38,818,"Washington, DC","I write about art, film, music, and more.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1366488318687535107","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1366402850541105154",2021-03-01 15:00:00,"MoMath1","How old are the couple’s children? We will reveal the correct answer in 24 hours! #MathMonday #MoMath https://t.co/SdsvRKs1Ua","Twitter Web App",101,,,,FALSE,FALSE,62,17,,,"MathMonday MoMath",,,,,"http://pbs.twimg.com/media/EvLsufRXcAIVry4.jpg","https://t.co/SdsvRKs1Ua","https://twitter.com/MoMath1/status/1366402850541105154/photo/1","photo","http://pbs.twimg.com/media/EvLsufRXcAIVry4.jpg","https://t.co/SdsvRKs1Ua","https://twitter.com/MoMath1/status/1366402850541105154/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1366402850541105154","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1365416301104136196",2021-02-26 21:39:49,"MoMath1","#foldingFridays starting with Kathleen Sheridan @MoMath1 - ‘Septagonal Ring’ by Mette Pederson #MTBoS #iteachmath #mathisfun #Origami https://t.co/dkdoIxkS6v","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,"foldingFridays MTBoS iteachmath mathisfun",,,,,,,,,,,,,"x16785108 x90778418","dbarman MoMath1","en",,,,,,,,,,,,,,,,"x1365416004264861702","#foldingFridays starting with Kathleen Sheridan @MoMath1 - ‘Septagonal Ring’ by Mette Pederson #MTBoS #iteachmath #mathisfun #Origami https://t.co/dkdoIxkS6v",2021-02-26 21:38:38,"Twitter for iPhone",13,3,"x16785108","dbarman","Dilip Barman",378,54,5245,"North Carolina, USA","I'm passionate about vegan whole-food plant-based food, teaching, math, film & more. I'm a homeschooling Dad & writer for @SaatheeMagazine, Plant-Based Ntwk,...",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1365416301104136196","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1365307048204914690",2021-02-26 14:25:41,"MoMath1","Listen to Marcus Miller’s new music video here: https://t.co/vnpihoxRdl","Twitter Web App",71,"x1365306847746473996","x90778418","MoMath1",FALSE,FALSE,1,1,,,,,"youtube.com/watch?v=w55mah…","https://t.co/vnpihoxRdl","https://www.youtube.com/watch?v=w55mah_cCvA&feature=youtu.be",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1365307048204914690","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1365306847746473996",2021-02-26 14:24:53,"MoMath1","Marcus Miller’s new #musicvideo had its worldwide debut at the #MoMath Masters. See video from the event, including @TheDailyShow's @roywoodjr, world chess champ @Kasparov63, @nytimes crossword editor Will Shortz, &amp; magician-to-the-stars @Mark_Mitton, at https://t.co/3FXjJPzibc","Twitter Web App",282,,,,FALSE,FALSE,2,0,,,"musicvideo MoMath",,"masters.momath.org","https://t.co/3FXjJPzibc","http://masters.momath.org",,,,,,,,,"x158414847 x41761325 x449588356 x807095 x374207755","TheDailyShow roywoodjr Kasparov63 nytimes Mark_Mitton","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1365306847746473996","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1365054407818248194",2021-02-25 21:41:46,"MoMath1","Congratulations to the category winners:

Math Classics
Alex Song

Math Pulse
Chris Valentino

Gardner Greats
Daniel Tilkin","Twitter Web App",123,"x1365052940176793606","x90778418","MoMath1",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1365054407818248194","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1365052940176793606",2021-02-25 21:35:57,"MoMath1","Thank you to everyone who joined #MoMath on Tuesday night for the tenth annual Masters Tournament, the exciting competition and charitable fundraiser.

Congratulations to this year's winners!

1st Place: @joshuazucker 

2nd Place: Geva Patz

3rd Place: @PoShenLoh https://t.co/Ai6FTyORqf","Twitter Web App",263,,,,FALSE,FALSE,12,2,,,"MoMath",,,,,"http://pbs.twimg.com/media/EvGj-hNXUAIOHPW.jpg","https://t.co/Ai6FTyORqf","https://twitter.com/MoMath1/status/1365052940176793606/photo/1","photo","http://pbs.twimg.com/media/EvGj-hNXUAIOHPW.jpg http://pbs.twimg.com/media/EvGj-hLXAAAZw1B.jpg http://pbs.twimg.com/media/EvGj-hNXUAQn8EL.jpg","https://t.co/Ai6FTyORqf https://t.co/Ai6FTyORqf https://t.co/Ai6FTyORqf","https://twitter.com/MoMath1/status/1365052940176793606/photo/1 https://twitter.com/MoMath1/status/1365052940176793606/photo/1 https://twitter.com/MoMath1/status/1365052940176793606/photo/1",,"x21931488 x2262202430","joshuazucker PoShenLoh","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1365052940176793606","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1364989839960072197",2021-02-25 17:25:12,"MoMath1","The @washingtonpost published an article about ""Global Perspective,"" a groundbreaking yearlong augmented reality #exhibit created by artist Anton Bakker in partnership with #MoMath. 

Read the article here &amp; explore the exhibit at https://t.co/ejzhWe9Y46: https://t.co/anpOEEBUms","Twitter Web App",283,,,,FALSE,FALSE,14,8,,,"exhibit MoMath",,"globalsculpturepark.com washingtonpost.com/goingoutguide/…","https://t.co/ejzhWe9Y46 https://t.co/anpOEEBUms","http://globalsculpturepark.com https://www.washingtonpost.com/goingoutguide/museums/anton-bakker-art-review/2021/02/23/e66a6a00-71fe-11eb-93be-c10813e358a2_story.html",,,,,,,,,"x2467791","washingtonpost","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1364989839960072197","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1364923105202888706",2021-02-25 13:00:01,"MoMath1","If you are a #seniorcitizen, come roll the dice with #MoMath today at 2pm ET! Explore how to determine the probability of rolling a given sum with a pair of standard dice &amp; find a different way to number the #dice to get the same probabilities. Register at https://t.co/kx1hjJ0A0H https://t.co/5fYNzyxPzp","Twitter Web App",284,,,,FALSE,FALSE,3,4,,,"seniorcitizen MoMath dice",,"seniorsessions.momath.org","https://t.co/kx1hjJ0A0H","http://seniorsessions.momath.org","http://pbs.twimg.com/media/EvBQSWWWQAAll_Z.jpg","https://t.co/5fYNzyxPzp","https://twitter.com/MoMath1/status/1364923105202888706/photo/1","photo","http://pbs.twimg.com/media/EvBQSWWWQAAll_Z.jpg","https://t.co/5fYNzyxPzp","https://twitter.com/MoMath1/status/1364923105202888706/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1364923105202888706","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1364575809734811651",2021-02-24 14:00:00,"MoMath1","Tonight at 6:30pm ET journey into the world of #opticalillusion with artist Anton Bakker &amp; a team of experts. Anton will demonstrate how #sculptures can present a view of “reality” that fools the mind. Learn more &amp; register at https://t.co/vg0jKYy2ID https://t.co/BID67cnKT2","Twitter Web App",258,,,,FALSE,FALSE,10,9,,,"opticalillusion sculptures",,"illusions.momath.org","https://t.co/vg0jKYy2ID","http://illusions.momath.org","http://pbs.twimg.com/media/Eu3XprDXMAYmIEI.jpg","https://t.co/BID67cnKT2","https://twitter.com/MoMath1/status/1364575809734811651/photo/1","photo","http://pbs.twimg.com/media/Eu3XprDXMAYmIEI.jpg","https://t.co/BID67cnKT2","https://twitter.com/MoMath1/status/1364575809734811651/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1364575809734811651","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1364243458018451460",2021-02-23 15:59:21,"MoMath1","We have quite the lineup for tonight’s #MoMath Masters Tournament! Register at https://t.co/3FXjJPzibc

1. Chess grandmaster @Kasparov63
2. @nytimes crossword puzzle editor Will Shortz
3. @TheDailyShow comedian @roywoodjr
4. Magician @Mark_Mitton
5. Jazz musician Marcus Miller https://t.co/lIJSnPjfsX","Twitter for iPhone",277,,,,FALSE,FALSE,78,17,,,"MoMath",,"masters.momath.org","https://t.co/3FXjJPzibc","http://masters.momath.org","http://pbs.twimg.com/media/Eu7EMbqWQAI2M3T.jpg","https://t.co/lIJSnPjfsX","https://twitter.com/MoMath1/status/1364243458018451460/photo/1","photo","http://pbs.twimg.com/media/Eu7EMbqWQAI2M3T.jpg http://pbs.twimg.com/media/Eu7EMbnXcAQdges.jpg","https://t.co/lIJSnPjfsX https://t.co/lIJSnPjfsX","https://twitter.com/MoMath1/status/1364243458018451460/photo/1 https://twitter.com/MoMath1/status/1364243458018451460/photo/1",,"x449588356 x807095 x158414847 x41761325 x374207755","Kasparov63 nytimes TheDailyShow roywoodjr Mark_Mitton","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1364243458018451460","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1364218173256531968",2021-02-23 14:18:53,"MoMath1","The figures below show the three solutions to yesterday’s #MathMonday question. Note that puzzle (a) has an infinite number of additional solutions. https://t.co/3Y3wmr0kqB","Twitter for iPhone",148,"x1363851043768053764","x90778418","MoMath1",FALSE,FALSE,11,4,,,"MathMonday",,,,,"http://pbs.twimg.com/media/Eu6tMrDXIAMCp_D.jpg","https://t.co/3Y3wmr0kqB","https://twitter.com/MoMath1/status/1364218173256531968/photo/1","photo","http://pbs.twimg.com/media/Eu6tMrDXIAMCp_D.jpg","https://t.co/3Y3wmr0kqB","https://twitter.com/MoMath1/status/1364218173256531968/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1364218173256531968","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1363891002717700096",2021-02-22 16:38:49,"MoMath1","Throwback to @MoMath1 at the 28
Liberty Plaza!
.
.
#lowerManhattan#nyc#history
#photography #travel #architecture
#skyscraper #art #food #math #learning https://t.co/HtR4ilWVu0","Twitter for iPhone",140,,,,FALSE,TRUE,0,2,,,"photography travel architecture",,,,,,,,,,,,,"x2853857824 x90778418","28_liberty MoMath1","en",,,,,,,,,,,,,,,,"x1363874004558376961","Throwback to @MoMath1 at the 28
Liberty Plaza!
.
.
#lowerManhattan#nyc#history
#photography #travel #architecture
#skyscraper #art #food #math #learning https://t.co/HtR4ilWVu0",2021-02-22 15:31:16,"Postfity.com",3,2,"x2853857824","28_liberty","28 Liberty",1979,432,1253,"28 Liberty, New York City","Iconic office tower and plaza in the center of Lower Manhattan, featuring Dubuffet's famous Group of Four Trees and a peaceful Noguchi rock garden fountain.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1363891002717700096","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1363851043768053764",2021-02-22 14:00:02,"MoMath1","Cut an equilateral triangle into three pieces of identical shape where:

(a) They are all the same size.
(b) They are all of different sizes.
(c) Two are the same size and the third is a different size.

Pieces may be turned over.

Comment your answers below! #MathMonday #MoMath https://t.co/YFQKebV9Lj","Twitter Web App",279,,,,FALSE,FALSE,28,15,,,"MathMonday MoMath",,,,,"http://pbs.twimg.com/media/EuddHwOXMAMN1If.jpg","https://t.co/YFQKebV9Lj","https://twitter.com/MoMath1/status/1363851043768053764/photo/1","photo","http://pbs.twimg.com/media/EuddHwOXMAMN1If.jpg","https://t.co/YFQKebV9Lj","https://twitter.com/MoMath1/status/1363851043768053764/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1363851043768053764","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
"x90778418","x1362763878287826945",2021-02-19 14:00:02,"MoMath1","Today's Folding Fridays craft is BEARY cute! 🐻 Join us at 4:30pm ET to learn how to fold this adorable teddy bear. It's just one piece of paper and can be made with patterned or duo colored paper. Learn more and register at https://t.co/hV7ooZHJbH https://t.co/wg7hMcHANE","Twitter Web App",247,,,,FALSE,FALSE,17,3,,,,,"foldingfridays.momath.org","https://t.co/hV7ooZHJbH","http://foldingfridays.momath.org","http://pbs.twimg.com/media/EuYa7LmXYAIFZ-7.jpg","https://t.co/wg7hMcHANE","https://twitter.com/MoMath1/status/1362763878287826945/photo/1","photo","http://pbs.twimg.com/media/EuYa7LmXYAIFZ-7.jpg","https://t.co/wg7hMcHANE","https://twitter.com/MoMath1/status/1362763878287826945/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MoMath1/status/1362763878287826945","National Museum of Mathematics","11 East 26th Street","The only Museum in North America that celebrates the beauty and wonder of mathematics, located in New York City! ➞ #MoMath","https://t.co/JnUzMDFr2V",FALSE,70672,354,1530,8400,815,2009-11-18 02:13:47,FALSE,"https://t.co/JnUzMDFr2V","http://momath.org",,"https://pbs.twimg.com/profile_banners/90778418/1403296342","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/480022790188171265/djUQNed1_normal.png"
