"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x3171307067","x1397942071038726148",2021-05-27 15:45:36,"mathillustrated","Who writes the headlines frames the debate https://t.co/LTSTs33Fd8","Twitter for iPhone",42,,,,FALSE,FALSE,1,0,,,,,,,,"http://pbs.twimg.com/media/E2Z852FX0AAN_Nr.jpg","https://t.co/LTSTs33Fd8","https://twitter.com/mathillustrated/status/1397942071038726148/photo/1","photo","http://pbs.twimg.com/media/E2Z852FX0AAN_Nr.jpg","https://t.co/LTSTs33Fd8","https://twitter.com/mathillustrated/status/1397942071038726148/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397942071038726148","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397935144284078080",2021-05-27 15:18:05,"mathillustrated","@DrMRFrancis @JeanneGarb @LouWoodley The patriarchy has also worked to position “soft” on the other end of a spectrum from “objective” “rational” etc.  (and to boot, not quantifiable and therefore to be dismissed)","Twitter for iPhone",176,"x1397902692727599105","x186585181","DrMRFrancis",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x186585181 x136406719 x20342875","DrMRFrancis JeanneGarb LouWoodley","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397935144284078080","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397854841708351491",2021-05-27 09:58:59,"mathillustrated","@dh11235 @NCTM @angelatbarlow It's been approved for publication!  Have you had a chance to take a look?","Twitter Web App",74,"x1390276900468183040","x3171307067","mathillustrated",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1402783058 x15840088 x850429502920556546","dh11235 NCTM angelatbarlow","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397854841708351491","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397854424320593920",2021-05-27 09:57:20,"mathillustrated","Have you ever stopped to ask yourself, ""Why do we track students in mathematics?"" Powerful session #wismath21 Learn more from @nctm about detracking https://t.co/u6B7LSwitv https://t.co/RN8faxZ3cE","Twitter Web App",139,,,,FALSE,TRUE,0,1,,,"wismath21",,,,,,,,,,,,,"x1402783058","dh11235","en",,,,,,,,,,,,,,,,"x1391079727876743170","Have you ever stopped to ask yourself, ""Why do we track students in mathematics?"" Powerful session #wismath21 Learn more from @nctm about detracking https://t.co/u6B7LSwitv https://t.co/RN8faxZ3cE",2021-05-08 17:17:06,"Twitter Web App",4,1,"x1402783058","dh11235","DeAnn Huinker",786,379,1675,"Milwaukee, WI","NCTM Board of Directors,
Mathematics Teacher Educator, Mathematics Education Researcher",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397854424320593920","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397846465863639042",2021-05-27 09:25:42,"mathillustrated","“Machines, and children, can be programmed to solve problems of ‘the same type’ but solving problems that motivate new #mathematical knowledge is a different, more complex, process.” https://t.co/muOrZrDt3Q","Twitter for iPhone",182,,,,TRUE,FALSE,2,0,,,"mathematical",,"twitter.com/annemathswatso…","https://t.co/muOrZrDt3Q","https://twitter.com/annemathswatson/status/1397826702047334402",,,,,,,,,,,"en","x1397826702047334402","My response to the #Ofstedreview of research: mathematics can be found at https://t.co/clVnEa87RU It's about some of the shortcomings rather than the good bits.",2021-05-27 08:07:10,"Twitter Web App",30,11,"x1010955071641784326","annemathswatson","Anne Watson",3460,77,1421,"","Anne Watson Oxford",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397846465863639042","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397740939221868552",2021-05-27 02:26:23,"mathillustrated","99 + 99 + 5—a problem I always find interesting to ask students . . . &amp; adults. Two students, one interviewed by @landon_dickey &amp; one by me. Two different ways to reason. How would you figure out the answer? https://t.co/zbl4eRIwET  #MTBoS https://t.co/sbWKwzYy6K","Twitter Web App",144,,,,FALSE,TRUE,0,30,,,,,,,,,,,,,,,,"x2778173789","mburnsmath","en",,,,,,,,,,,,,,,,"x1397733660225269761","99 + 99 + 5—a problem I always find interesting to ask students . . . &amp; adults. Two students, one interviewed by @landon_dickey &amp; one by me. Two different ways to reason. How would you figure out the answer? https://t.co/zbl4eRIwET  #MTBoS https://t.co/sbWKwzYy6K",2021-05-27 01:57:27,"Twitter Web App",129,30,"x2778173789","mburnsmath","Marilyn Burns",38186,329,4868,"","Working to make the world better for children through math. Visit me at https://t.co/piXn32eFjc.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397740939221868552","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397740205231202307",2021-05-27 02:23:28,"mathillustrated","A4: I think there is a weird tension between all my feelings on NCTM:

1. It feels prestigious, like, oooo fancy math teachers present there bc they've got it all ""figured out""
2. but who gets to go? Who can afford to go? What privilege do they have to attend?

#BlackMeccaNCTM https://t.co/BTkOhYZc1G","Twitter Web App",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x628476886","JennSWhite","en",,,,,,,,,,,,,,,,"x1397720395495653384","A4: I think there is a weird tension between all my feelings on NCTM:

1. It feels prestigious, like, oooo fancy math teachers present there bc they've got it all ""figured out""
2. but who gets to go? Who can afford to go? What privilege do they have to attend?

#BlackMeccaNCTM https://t.co/BTkOhYZc1G",2021-05-27 01:04:45,"TweetDeck",9,3,"x628476886","JennSWhite","Jennifer White",2922,708,29212,"Winston Salem","Math teacher at UNCSA HS (Geo & Discrete) . Mom . Desmos Fellow . Returned Peace Corps Volunteer-Peru . Duke MAT . #MTBoS . #MTBoSNC . she/her",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397740205231202307","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397740007973064709",2021-05-27 02:22:41,"mathillustrated","Chilling. These silencing tactics are age-old. https://t.co/gujIkf5G6y","Twitter Web App",89,,,,FALSE,TRUE,0,1,,,,,"twitter.com/LaraMathcalf/s…","https://t.co/gujIkf5G6y","https://twitter.com/LaraMathcalf/status/1397720279661563913",,,,,,,,,"x93562407","teachnext_tmb","en",,,,,,,,,,,,,,,,"x1397723260209569793","Chilling. These silencing tactics are age-old. https://t.co/gujIkf5G6y",2021-05-27 01:16:08,"Twitter Web App",2,1,"x93562407","teachnext_tmb","Tyrone Martinez-Black is counting on you",1504,649,18086,"Chicagoland","ty/he/they...Designs on Learning for any age. IG teachnext.tmb // #PlaceValue #RunVsRona",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397740007973064709","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397739834198855686",2021-05-27 02:21:59,"mathillustrated","We’re baaaack.

Book chat with @DingleTeach and @teachnext_tmb reading the amazing work of @DrMoHob 

Prepping that #PlaceValue before NCTM in ATL (Sept 2021) #BlackMeccaNCTM 

Get your copy now. Exact dates will be announced shortly. https://t.co/kigsBiGOCN","Twitter Web App",140,,,,FALSE,TRUE,0,17,,,,,,,,,,,,,,,,"x93562407 x802064767921909760 x93562407 x4010004837","teachnext_tmb DingleTeach teachnext_tmb DrMoHob","en",,,,,,,,,,,,,,,,"x1382725028370907145","We’re baaaack.

Book chat with @DingleTeach and @teachnext_tmb reading the amazing work of @DrMoHob 

Prepping that #PlaceValue before NCTM in ATL (Sept 2021) #BlackMeccaNCTM 

Get your copy now. Exact dates will be announced shortly. https://t.co/kigsBiGOCN",2021-04-15 15:58:31,"Twitter for iPhone",34,17,"x93562407","teachnext_tmb","Tyrone Martinez-Black is counting on you",1504,649,18086,"Chicagoland","ty/he/they...Designs on Learning for any age. IG teachnext.tmb // #PlaceValue #RunVsRona",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397739834198855686","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397725897420066823",2021-05-27 01:26:37,"mathillustrated","@mx_hartzer Been doing it that way for 20 years","Twitter for iPhone",35,"x1397624263226634240","x1133178941554995201","mx_hartzer",FALSE,FALSE,6,0,,,,,,,,,,,,,,,,"x1133178941554995201","mx_hartzer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397725897420066823","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397651629256675333",2021-05-26 20:31:30,"mathillustrated","@martinsean young","Twitter for iPad",5,"x1397587805379784711","x21164280","martinsean",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x21164280","martinsean","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397651629256675333","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397649493303169034",2021-05-26 20:23:00,"mathillustrated","California's newly proposed math framework seeks equity as part of the equation https://t.co/fK5x1Ic8sJ","Twitter for iPad",124,,,,FALSE,TRUE,0,3,,,,,"abc7ne.ws/3oS40Uw","https://t.co/fK5x1Ic8sJ","http://abc7ne.ws/3oS40Uw",,,,,,,,,"x18993395","abc7newsbayarea","en",,,,,,,,,,,,,,,,"x1397341748179910661","California's newly proposed math framework seeks equity as part of the equation https://t.co/fK5x1Ic8sJ",2021-05-26 00:00:08,"True Anthem",3,3,"x18993395","abc7newsbayarea","ABC7 News",557341,24327,406978,"San Francisco Bay Area","#1 source for breaking news, weather, and sports in the Bay Area. Share photos, vids and tips by tagging tweets #abc7now. You may see them here or on ABC7 News!",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397649493303169034","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397624621889957897",2021-05-26 18:44:11,"mathillustrated","@mikeandallie Protect the rich!","Twitter for iPhone",17,"x1397597558474739714","x65646836","mikeandallie",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x65646836","mikeandallie","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397624621889957897","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397596572326760451",2021-05-26 16:52:43,"mathillustrated","Join us 5/27 12:30 Pacific for Talk Math With Your Friends featuring @professorbrenda about the Chaser-Runner Game on product graphs. @TMWYFriends #TMWYF @TChihMath @siwelwerd @ProfNoodlearms @katemath @maanow @amermathsoc 

Zoom info &amp; schedule:
https://t.co/sQRoAhNUd0 https://t.co/oEw6r4PkP6","Twitter for iPhone",139,,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,,,"x1693739557 x2968906072","thewordninja_bk professorbrenda","en",,,,,,,,,,,,,,,,"x1397553391333634048","Join us 5/27 12:30 Pacific for Talk Math With Your Friends featuring @professorbrenda about the Chaser-Runner Game on product graphs. @TMWYFriends #TMWYF @TChihMath @siwelwerd @ProfNoodlearms @katemath @maanow @amermathsoc 

Zoom info &amp; schedule:
https://t.co/sQRoAhNUd0 https://t.co/oEw6r4PkP6",2021-05-26 14:01:08,"Twitter for iPhone",11,8,"x1693739557","thewordninja_bk","Brian Katz (BK)",1156,698,6479,"","Word ninja, teacher, singer, cat fancier, queer mathematician, magical creature. Yes, the hair is real. Pronouns: no preference",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397596572326760451","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397507549973389315",2021-05-26 10:58:59,"mathillustrated","The average African-American family has around one-tenth the wealth of the average white family   https://t.co/8aq02Yr7nc","Twitter for iPhone",139,,,,FALSE,TRUE,0,131,,,,,"econ.st/3f51iYb","https://t.co/8aq02Yr7nc","https://econ.st/3f51iYb",,,,,,,,,"x5988062","TheEconomist","en",,,,,,,,,,,,,,,,"x1396435760824344577","The average African-American family has around one-tenth the wealth of the average white family   https://t.co/8aq02Yr7nc",2021-05-23 12:00:04,"SocialFlow",234,131,"x5988062","TheEconomist","The Economist",25628811,131,261534,"London","News and analysis with a global perspective. Subscribe here: https://t.co/2yqda1bvlt",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397507549973389315","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397373464688857090",2021-05-26 02:06:10,"mathillustrated","@geoffkrall https://t.co/mzF1aKpCVL","Twitter for iPad",0,"x1397370566588334083","x242573651","geoffkrall",FALSE,FALSE,0,0,,,,,,,,"http://pbs.twimg.com/tweet_video_thumb/E2R3wdqWUAM87CO.jpg","https://t.co/mzF1aKpCVL","https://twitter.com/mathillustrated/status/1397373464688857090/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/E2R3wdqWUAM87CO.jpg","https://t.co/mzF1aKpCVL","https://twitter.com/mathillustrated/status/1397373464688857090/photo/1",,"x242573651","geoffkrall","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397373464688857090","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397367123064889346",2021-05-26 01:40:58,"mathillustrated","@NatBanting @usaskEducation Because, you know, https://t.co/HzWKc72sxW","Twitter for iPhone",18,"x1397364779266842631","x206843292","NatBanting",TRUE,FALSE,0,0,,,,,"twitter.com/teachergrind/s…","https://t.co/HzWKc72sxW","https://twitter.com/teachergrind/status/1396631798419918848",,,,,,,,,"x206843292 x2879698764","NatBanting usaskEducation","en","x1396631798419918848","...the reason our students can’t remember how to solve multi-step equations in 12th grade even though we know they learned it is because they lacked the repetition required to remember how.",2021-05-24 00:59:03,"Twitter for iPhone",159,7,"x1146672266198970368","teachergrind","That Teacher Grind",1459,1030,5369,"California, USA","@thatteachergrind on IG and Facebook • 11 years teaching • Ride or die for my kids • #teachermemes since Jan ‘18 • chaotic evil • #DefundThePolice • she/her📍US",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397367123064889346","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397366760358268931",2021-05-26 01:39:32,"mathillustrated","The word image in the sense of “portrait, picture, painting or drawing” as a physical object evolved into an image as a thing which exists only in the mind or ""not real, existing only in fancy”. The sense of ""suppose, assume"" followed. 🤔 #MathWords","Twitter for iPhone",248,"x1397366759481561088","x3171307067","mathillustrated",FALSE,FALSE,0,0,,,"MathWords",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397366760358268931","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397366759481561088",2021-05-26 01:39:31,"mathillustrated","imaginary: Late Latin imaginarius ""seeming, fancied,"" and Latin imaginari ""picture to oneself."" Also literally, ""pertaining to an image,"" in the sense of “an imitation, a copy, a likeness”, from imago ""an image, a likeness,"" from the stem of imitari ""to copy, imitate.”","Twitter for iPhone",269,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397366759481561088","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
"x3171307067","x1397365829679919105",2021-05-26 01:35:50,"mathillustrated","Just learned the connection between the #words “ostensibly” and “ostentatious”. 😇","Twitter for iPhone",81,,,,FALSE,FALSE,3,0,,,"words",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mathillustrated/status/1397365829679919105","Ralph Pantozzi","","@MoMath Rosenthal Prize • #PAEMST • @SciFri Educator • @RutgersGSE @NCTM + @MAAnow Joint Committee on Mutual Concerns","https://t.co/obXGK5TLTm",FALSE,2491,1890,56,32929,26337,2015-04-15 20:58:36,FALSE,"https://t.co/obXGK5TLTm","http://www.mathillustrated.net",,"https://pbs.twimg.com/profile_banners/3171307067/1430077485","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/891723156343345152/FvfLfNbb_normal.jpg"
