"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x725069519182544896","x1367598037158166528",2021-03-04 22:09:15,"MathTeachCircle",".@MathTeachCircle brings together teachers and mathematicians to enrich the experience of mathematical problem-solving. Achieve your goals of forming a professional network with math instructors and provide a richer math experience to your students. https://t.co/SvjhWYJzH6","Twitter for Mac",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x80623140 x725069519182544896","OSLN MathTeachCircle","en",,,,,,,,,,,,,,,,"x1367129018416398337",".@MathTeachCircle brings together teachers and mathematicians to enrich the experience of mathematical problem-solving. Achieve your goals of forming a professional network with math instructors and provide a richer math experience to your students. https://t.co/SvjhWYJzH6",2021-03-03 15:05:32,"Oktopost",1,1,"x80623140","OSLN","OSLN",2792,1130,8101,"Ohio","The Ohio STEM Learning Network brings the best in teaching and learning to Ohio classrooms - supported by state government, Ohio schools and @Battelle.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1367598037158166528","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1366525621677948931",2021-03-01 23:07:51,"MathTeachCircle","How does folding lead to fun and quirky mathematics? 

Join us at this very special virtual Maths Teacher Circle event where @jamestanton will be taking us on a fascinating journey of folding &amp; a famous unsolved maths problem! 

Register at: https://t.co/pPkRnK32bM #mtcoz #mtbos https://t.co/tMOPvfQVeM","Twitter for Mac",139,,,,FALSE,TRUE,0,5,,,,,,,,,,,,,,,,"x1182528451326005248","MathsCirclesOz","en",,,,,,,,,,,,,,,,"x1360337381497348097","How does folding lead to fun and quirky mathematics? 

Join us at this very special virtual Maths Teacher Circle event where @jamestanton will be taking us on a fascinating journey of folding &amp; a famous unsolved maths problem! 

Register at: https://t.co/pPkRnK32bM #mtcoz #mtbos https://t.co/tMOPvfQVeM",2021-02-12 21:18:00,"TweetDeck",14,5,"x1182528451326005248","MathsCirclesOz","Maths Teacher Circles",1061,302,814,"Australia","Bringing teachers, mathematicians and other maths lovers together. #MTCOZ",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1366525621677948931","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1366525576803016708",2021-03-01 23:07:40,"MathTeachCircle","Are you keen to join a community of educators who love maths and discussing maths teaching? 

Connect with like-minded professionals through online Maths Teacher Circles for new perspectives.

Events scheduled throughout 2021. Register at: https://t.co/CbtAye2CvF 
#mtcoz #MTBoS https://t.co/4hYwECoz87","Twitter for Mac",139,,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,,,"x1182528451326005248","MathsCirclesOz","en",,,,,,,,,,,,,,,,"x1366237508913217540","Are you keen to join a community of educators who love maths and discussing maths teaching? 

Connect with like-minded professionals through online Maths Teacher Circles for new perspectives.

Events scheduled throughout 2021. Register at: https://t.co/CbtAye2CvF 
#mtcoz #MTBoS https://t.co/4hYwECoz87",2021-03-01 04:03:00,"TweetDeck",9,7,"x1182528451326005248","MathsCirclesOz","Maths Teacher Circles",1061,302,814,"Australia","Bringing teachers, mathematicians and other maths lovers together. #MTCOZ",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1366525576803016708","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1365011186563997697",2021-02-25 18:50:02,"MathTeachCircle",".@MathTeachCircle brings together teachers and mathematicians to enrich the teachers’ experience of mathematical problem-solving. Join them at the Black Swamp Math Teachers Circles to discuss opportunities to advance math education at your school. https://t.co/xtp6zJEDg0","Twitter for Mac",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,,,"x80623140 x725069519182544896","OSLN MathTeachCircle","en",,,,,,,,,,,,,,,,"x1363503754595749888",".@MathTeachCircle brings together teachers and mathematicians to enrich the teachers’ experience of mathematical problem-solving. Join them at the Black Swamp Math Teachers Circles to discuss opportunities to advance math education at your school. https://t.co/xtp6zJEDg0",2021-02-21 15:00:02,"Oktopost",2,1,"x80623140","OSLN","OSLN",2792,1130,8101,"Ohio","The Ohio STEM Learning Network brings the best in teaching and learning to Ohio classrooms - supported by state government, Ohio schools and @Battelle.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1365011186563997697","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1364337252483149830",2021-02-23 22:12:03,"MathTeachCircle","Check out the flyer below to learn more about an opportunity at the Emory Research Experience for Undergraduates and Teachers site, more information can be found here as well: https://t.co/jd0ALM9lll https://t.co/Zf4cm8z75y","Buffer",199,,,,FALSE,FALSE,3,2,,,,,"buff.ly/2ZJ5mFd","https://t.co/jd0ALM9lll","https://buff.ly/2ZJ5mFd","http://pbs.twimg.com/media/Eu8ZgCnXIAgUM6f.jpg","https://t.co/Zf4cm8z75y","https://twitter.com/MathTeachCircle/status/1364337252483149830/photo/1","photo","http://pbs.twimg.com/media/Eu8ZgCnXIAgUM6f.jpg","https://t.co/Zf4cm8z75y","https://twitter.com/MathTeachCircle/status/1364337252483149830/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1364337252483149830","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1362535532975259655",2021-02-18 22:52:40,"MathTeachCircle","Bridge to Enter Advanced Mathematics or BEAM has summer position available for faculty and junior faculty! Find out more on their website: https://t.co/XdtzA4FCRM https://t.co/KoPmmusyhc","Buffer",162,,,,FALSE,FALSE,4,3,,,,,"buff.ly/2CmmA0p","https://t.co/XdtzA4FCRM","https://buff.ly/2CmmA0p","http://pbs.twimg.com/media/Euiy2NeXUAUyTCi.png","https://t.co/KoPmmusyhc","https://twitter.com/MathTeachCircle/status/1362535532975259655/photo/1","photo","http://pbs.twimg.com/media/Euiy2NeXUAUyTCi.png","https://t.co/KoPmmusyhc","https://twitter.com/MathTeachCircle/status/1362535532975259655/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1362535532975259655","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1359962167697621000",2021-02-11 20:27:02,"MathTeachCircle","Want to learn more about the Civil Rights Movement? Duke will be holding the NEH Summer Institute for School Teachers this year from July 6-23! More information can be foud here: https://t.co/cF0IfPwi0B","Buffer",202,,,,FALSE,FALSE,0,0,,,,,"buff.ly/2ZDwjJy","https://t.co/cF0IfPwi0B","https://buff.ly/2ZDwjJy",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1359962167697621000","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1358892613320003584",2021-02-08 21:37:00,"MathTeachCircle","TOMORROW! Tune in to Henri Picciotto's session entitled 'Geometric Puzzles, Virtually' and learn more about tangrams and pentominoes! Register now: https://t.co/oDNIIH6yWw","Buffer",171,,,,FALSE,FALSE,3,1,,,,,"buff.ly/2N8XU3f","https://t.co/oDNIIH6yWw","https://buff.ly/2N8XU3f",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1358892613320003584","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1354907532263788544",2021-01-28 21:41:43,"MathTeachCircle","Do you know a high school student who would enjoy six weeks of challenging exploration-based mathematics? The Program in Mathematics for Young Scientists (PROMYS) will begin its 33rd summer session on July 5, 2021. Check out the flyer for more details! @PROMYS_Program https://t.co/FlhvvLokO7","Twitter for Mac",139,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,,,"x1304141133438566400","AIMathCommunity","en",,,,,,,,,,,,,,,,"x1354907215707176964","Do you know a high school student who would enjoy six weeks of challenging exploration-based mathematics? The Program in Mathematics for Young Scientists (PROMYS) will begin its 33rd summer session on July 5, 2021. Check out the flyer for more details! @PROMYS_Program https://t.co/FlhvvLokO7",2021-01-28 21:40:27,"Buffer",4,3,"x1304141133438566400","AIMathCommunity","AIM_MathCommunities",130,113,86,"","https://t.co/jOMLMIs8zl provides joyful, collaborative math activities for K-12 students, parents, and educators.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1354907532263788544","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1354907328315707392",2021-01-28 21:40:54,"MathTeachCircle","Join us this spring on the first Wednesday of the month for our Math Teachers’ Circle! We had some great sessions in the fall, and we can’t wait to do more math with you. See https://t.co/7jOFkaFtaI for details or send a DM @MathTeachCircle @UMassLowellMath @UML_CollegeofEd","Twitter for Mac",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1288179304896114690","math_mill","en",,,,,,,,,,,,,,,,"x1354505637774897154","Join us this spring on the first Wednesday of the month for our Math Teachers’ Circle! We had some great sessions in the fall, and we can’t wait to do more math with you. See https://t.co/7jOFkaFtaI for details or send a DM @MathTeachCircle @UMassLowellMath @UML_CollegeofEd",2021-01-27 19:04:44,"Twitter for iPhone",3,2,"x1288179304896114690","math_mill","Math Mill",9,22,15,"Lowell, MA","The Math Mill. A new Math Teachers’ Circle serving the Merrimack Valley of MA and NH. Hosted by @umasslowell, @UML_CollegeofEd, & @UMassLowellMath",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1354907328315707392","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1349771784707473410",2021-01-14 17:34:05,"MathTeachCircle","How The Navajo Nation Is Transforming Math Education. “where local &amp; international researchers exchange math ideas &amp; study the best ways of teaching mathematics to Indigenous people.” #mathequity  https://t.co/cclzBRMvQF","Twitter for Mac",148,,,,FALSE,TRUE,0,75,,,,,,,,,,,,,,,,"x404409803","imathination","en",,,,,,,,,,,,,,,,"x1348433680268619777","How The Navajo Nation Is Transforming Math Education. “where local &amp; international researchers exchange math ideas &amp; study the best ways of teaching mathematics to Indigenous people.” #mathequity  https://t.co/cclzBRMvQF",2021-01-11 00:56:56,"Twitter for iPhone",168,75,"x404409803","imathination","Dιαɳα Cҽʝα",714,396,4262,"Southern California ","Learner of Mathematics! Administrator @RCOE, Past Pres @todosmath: Mathematics for All, Excellence&Equity, l💙@CaMathCouncil #mathequity #TMfSJ Opinions R Mine",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1349771784707473410","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1349057243996540931",2021-01-12 18:14:45,"MathTeachCircle","TONIGHT!! https://t.co/J5YMhnXP6r","Twitter for Mac",9,,,,TRUE,FALSE,1,1,,,,,"twitter.com/NebraskaMATH/s…","https://t.co/J5YMhnXP6r","https://twitter.com/NebraskaMATH/status/1348637049557958665",,,,,,,,,,,"en","x1348637049557958665","@MathTeachCircle's ""Making Math Bigger"" will be led by @ColoradoStateU's Dr. Hortensia Soto @HortensiaSoto3 on Tues., Jan. 12, 6-7:30pm CT. If you have heard of the movie “Honey, I Shrunk the Kids,” then you have an insight into this workshop! Register at https://t.co/qB4ECVBwiB",2021-01-11 14:25:03,"Twitter Web App",3,1,"x615293198","NebraskaMATH","NebraskaMATH & NebraskaSCIENCE",625,1324,1116,"Nebraska","Network of STEM educators and supporters of the improvement of math and science education",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1349057243996540931","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1348002892247035904",2021-01-09 20:25:08,"MathTeachCircle","Come participate in the first online MTC of 2021! https://t.co/Pkmi0WArQy","Twitter for Mac",49,,,,TRUE,FALSE,4,1,,,,,"twitter.com/AIMathCommunit…","https://t.co/Pkmi0WArQy","https://twitter.com/AIMathCommunity/status/1347732075785367552",,,,,,,,,,,"en","x1347732075785367552","Tune in next week at 2pm PST to the first Math Monday of 2021! Next week's session is entitled: Humans And Zombies And Other Problems Crossing The River, read more about the session and sign up here: https://t.co/W6YUUBsb1Y",2021-01-09 02:29:01,"Buffer",1,1,"x1304141133438566400","AIMathCommunity","AIM_MathCommunities",130,113,86,"","https://t.co/jOMLMIs8zl provides joyful, collaborative math activities for K-12 students, parents, and educators.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1348002892247035904","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1348002683655897089",2021-01-09 20:24:19,"MathTeachCircle","What makes some games better than others for building mathematical thinking?
 
Explore this question and more at the next virtual Maths Teacher Circle session. What better way to kick start 2021?! 
 
Secure your spot. Head to: https://t.co/CbtAye2CvF
#MTCOZ #MTBoS #AussieEd https://t.co/L7Y4XnqElQ","Twitter for Mac",140,,,,FALSE,TRUE,0,5,,,,,,,,,,,,,,,,"x1182528451326005248","MathsCirclesOz","en",,,,,,,,,,,,,,,,"x1347663872409403392","What makes some games better than others for building mathematical thinking?
 
Explore this question and more at the next virtual Maths Teacher Circle session. What better way to kick start 2021?! 
 
Secure your spot. Head to: https://t.co/CbtAye2CvF
#MTCOZ #MTBoS #AussieEd https://t.co/L7Y4XnqElQ",2021-01-08 21:58:00,"TweetDeck",24,5,"x1182528451326005248","MathsCirclesOz","Maths Teacher Circles",1061,302,814,"Australia","Bringing teachers, mathematicians and other maths lovers together. #MTCOZ",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1348002683655897089","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1347294539879354370",2021-01-07 21:30:24,"MathTeachCircle","Join @HortensiaSoto3 in Making Math Bigger on Tuesday at 4pm PST! https://t.co/avIxYVjYhA","Twitter for Mac",65,,,,TRUE,FALSE,3,0,,,,,"twitter.com/AIMathCommunit…","https://t.co/avIxYVjYhA","https://twitter.com/AIMathCommunity/status/1347294099716583426",,,,,,,,,"x1265430577131352065","HortensiaSoto3","en","x1347294099716583426","Math Monday and MTC Online return next week!! Make sure to register now for events on our website https://t.co/5DEL6opz92",2021-01-07 21:28:39,"Buffer",3,2,"x1304141133438566400","AIMathCommunity","AIM_MathCommunities",130,113,86,"","https://t.co/jOMLMIs8zl provides joyful, collaborative math activities for K-12 students, parents, and educators.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1347294539879354370","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1347265735429562369",2021-01-07 19:35:56,"MathTeachCircle","Check out the San Benito County Math Talk! @MathTeachCircle @SBCOE95023 @MCOE_Now Register at: https://t.co/KCsSEO2QUn https://t.co/UrpZOEJdlX","Twitter for Mac",140,,,,FALSE,TRUE,0,5,,,,,"sanbenito.k12oms.org/616-193644","https://t.co/KCsSEO2QUn","https://sanbenito.k12oms.org/616-193644",,,,,,,,,"x2724803935 x725069519182544896 x978678983427371008 x437278333","denisebgreen MathTeachCircle SBCOE95023 MCOE_Now","en",,,,,,,,,,,,,,,,"x1346564888101965824","Check out the San Benito County Math Talk! @MathTeachCircle @SBCOE95023 @MCOE_Now Register at: https://t.co/KCsSEO2QUn https://t.co/UrpZOEJdlX",2021-01-05 21:11:01,"Twitter Web App",8,5,"x2724803935","denisebgreen","Denise Green",747,1025,1843,"Monterey County, California","Math Administrator (& enthusiast) supporting educators, empowering students, and strengthening #mathed #MTBoS #mathequity #MontereyBayMathCouncil",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1347265735429562369","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1339657717523214337",2020-12-17 19:44:24,"MathTeachCircle","Join Tasha R. Innis, Kimberly S. Weems, &amp; Sherry E. Scott to celebrate the 20th anniversary of their graduation, three Black women PhDs from one institution in one year. More info is at https://t.co/Y4n50LM1PY or register here: https://t.co/rMTkvrkqvr https://t.co/6vNk1Y4f4e","Twitter for Mac",144,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,,,"x1304141133438566400","AIMathCommunity","en",,,,,,,,,,,,,,,,"x1339657474169851907","Join Tasha R. Innis, Kimberly S. Weems, &amp; Sherry E. Scott to celebrate the 20th anniversary of their graduation, three Black women PhDs from one institution in one year. More info is at https://t.co/Y4n50LM1PY or register here: https://t.co/rMTkvrkqvr https://t.co/6vNk1Y4f4e",2020-12-17 19:43:26,"Buffer",1,2,"x1304141133438566400","AIMathCommunity","AIM_MathCommunities",130,113,86,"","https://t.co/jOMLMIs8zl provides joyful, collaborative math activities for K-12 students, parents, and educators.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1339657717523214337","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
"x725069519182544896","x1339654925719011328",2020-12-17 19:33:18,"MathTeachCircle","Congrats on one year @MathsCirclesOz!! https://t.co/viN5LnzpmP","Twitter for Mac",38,,,,FALSE,FALSE,7,1,,,,,,,,"http://pbs.twimg.com/media/EpdpDhLVEAAhZTL.jpg","https://t.co/viN5LnzpmP","https://twitter.com/MathTeachCircle/status/1339654925719011328/photo/1","photo","http://pbs.twimg.com/media/EpdpDhLVEAAhZTL.jpg","https://t.co/viN5LnzpmP","https://twitter.com/MathTeachCircle/status/1339654925719011328/photo/1",,"x1182528451326005248","MathsCirclesOz","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MathTeachCircle/status/1339654925719011328","Math Teachers Circle","San Jose, CA","Building professional learning communities of mathematicians and teachers. The Math Teachers' Circle Network is a project of @AIMathematics.","https://t.co/toRt7ZVzLN",FALSE,4385,773,45,1043,475,2016-04-26 21:10:19,FALSE,"https://t.co/toRt7ZVzLN","http://www.mathteacherscircle.org",,"https://pbs.twimg.com/profile_banners/725069519182544896/1462570359","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/937742117132165127/rj6c8gUq_normal.jpg"
