"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1959849440","x1320861226256134144",2020-10-26 22:53:51,"AMSIschools","Check out this professional learning opportunity from @westernsydneyu and @attard_c #MathsTalk #CHOOSEMATHS #aussieED #PrimarySTEMChat #TLAPdownunder #MTCOZ https://t.co/fDTrAKqTG4","Twitter Web App",156,,,,TRUE,FALSE,1,0,,,"MathsTalk CHOOSEMATHS aussieED PrimarySTEMChat TLAPdownunder MTCOZ",,"twitter.com/attard_c/statu…","https://t.co/fDTrAKqTG4","https://twitter.com/attard_c/status/1320570306252001280",,,,,,,,,"x2202026366 x1853959992","westernsydneyu attard_c","en","x1320570306252001280","Looking for some maths PL to help plan for 2021? I’m running four online seminars at WSU in November. @AMSIschools @Imanewteacher @learnPSNSW @MathsNESA @AISNSWPrimary @PEN_UltimoOD @teachNSW https://t.co/fQqEQD5Sc2",2020-10-26 03:37:50,"Twitter for iPhone",19,4,"x1853959992","attard_c","Dr Catherine Attard",3782,776,2367,"Blue Mountains, Australia.","Associate Professor, primary mathematics education. Research interests: student/teacher engagement; mobile technologies, mathematics, financial literacy.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320861226256134144","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319203087484149760",2020-10-22 09:05:00,"AMSIschools","Q1. How many? Explain your thinking #howmany #unitchat #tmwyk #MathsTalk https://t.co/kNZfyehKOS","TweetDeck",72,,,,FALSE,FALSE,11,0,,,"howmany unitchat tmwyk MathsTalk",,,,,"http://pbs.twimg.com/media/EkzwIGOUcAALfrV.jpg","https://t.co/kNZfyehKOS","https://twitter.com/AMSIschools/status/1319203087484149760/photo/1","photo","http://pbs.twimg.com/media/EkzwIGOUcAALfrV.jpg","https://t.co/kNZfyehKOS","https://twitter.com/AMSIschools/status/1319203087484149760/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319203087484149760","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319199312186765312",2020-10-22 08:50:00,"AMSIschools","10 minutes and counting until our second puzzle inspired #MathsTalk chat begins - we hope you can joins us https://t.co/yRqGOHhgfR","TweetDeck",106,,,,FALSE,FALSE,2,1,,,"MathsTalk",,,,,"http://pbs.twimg.com/tweet_video_thumb/Ekz38wZVgAAuSlh.jpg","https://t.co/yRqGOHhgfR","https://twitter.com/AMSIschools/status/1319199312186765312/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/Ekz38wZVgAAuSlh.jpg","https://t.co/yRqGOHhgfR","https://twitter.com/AMSIschools/status/1319199312186765312/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319199312186765312","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1320502963551432704",2020-10-25 23:10:14,"AMSIschools","Looking for ideas to help your students learn more about Sets and Venn diagrams? Check out this teacher content module #MathsTalk #iteachmath #MTBoS 
https://t.co/eWWMcqA1j3","TweetDeck",173,,,,FALSE,FALSE,0,2,,,"MathsTalk iteachmath MTBoS",,"amsi.org.au/teacher_module…","https://t.co/eWWMcqA1j3","http://amsi.org.au/teacher_modules/Sets_and_venn_diagrams.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320502963551432704","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319205352106119168",2020-10-22 09:14:00,"AMSIschools","Here is some more information about the game Countdown #MathsTalk 
https://t.co/ysjbsXP4qM","TweetDeck",90,,,,FALSE,FALSE,5,0,,,"MathsTalk",,"calculate.org.au/2020/10/20/cou…","https://t.co/ysjbsXP4qM","https://calculate.org.au/2020/10/20/countdown/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319205352106119168","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319208371879202816",2020-10-22 09:26:00,"AMSIschools","Bonus Question (BQ)
What are some related activities, games or puzzles that you have used with students to help them practice their skills in maths? #MathsTalk https://t.co/wU79iMrASW","TweetDeck",159,,,,FALSE,FALSE,4,0,,,"MathsTalk",,,,,"http://pbs.twimg.com/media/Ekz5tQcVMAAKBiL.jpg","https://t.co/wU79iMrASW","https://twitter.com/AMSIschools/status/1319208371879202816/photo/1","photo","http://pbs.twimg.com/media/Ekz5tQcVMAAKBiL.jpg","https://t.co/wU79iMrASW","https://twitter.com/AMSIschools/status/1319208371879202816/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319208371879202816","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1320569842936762369",2020-10-26 03:36:00,"AMSIschools","Now that things are starting to open up here are some ideas that could help the parents of 2021 new students with maths #MathsTalk #iteachmath #MTBoS 
https://t.co/f7sg9AxZdr","TweetDeck",174,,,,FALSE,FALSE,1,2,,,"MathsTalk iteachmath MTBoS",,"calculate.org.au/2017/11/21/fin…","https://t.co/f7sg9AxZdr","https://calculate.org.au/2017/11/21/finding-the-maths/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320569842936762369","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319186734983380993",2020-10-22 08:00:01,"AMSIschools","One hour to go until our #MathsTalk chat looking at more puzzles begins - all welcome #iteachmath #MTBoS https://t.co/fq3bfhRBQs","TweetDeck",104,,,,FALSE,FALSE,5,2,,,"MathsTalk iteachmath MTBoS",,,,,"http://pbs.twimg.com/tweet_video_thumb/Ekz3fl5U0AAA0rT.jpg","https://t.co/fq3bfhRBQs","https://twitter.com/AMSIschools/status/1319186734983380993/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/Ekz3fl5U0AAA0rT.jpg","https://t.co/fq3bfhRBQs","https://twitter.com/AMSIschools/status/1319186734983380993/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319186734983380993","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1320213998504062976",2020-10-25 04:02:00,"AMSIschools","Use this easy-to-set-up game to check students' fluency with different skills  #MathsTalk #iteachmath #MTBoS https://t.co/hZavRQT5gW","TweetDeck",108,,,,FALSE,FALSE,1,2,,,"MathsTalk iteachmath MTBoS",,,,,"http://pbs.twimg.com/tweet_video_thumb/EkqZjeuU0AEMcfV.jpg","https://t.co/hZavRQT5gW","https://twitter.com/AMSIschools/status/1320213998504062976/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EkqZjeuU0AEMcfV.jpg","https://t.co/hZavRQT5gW","https://twitter.com/AMSIschools/status/1320213998504062976/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320213998504062976","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1318791387865776128",2020-10-21 05:49:03,"AMSIschools","@DavidKButlerUoA @MikeNelson009 @MisforMaths @missmath8 @mmap73 @nadia_abdelal @pdnrobertson @pinder03 @SandyNicoll2018 @StaplesMitchell @ticky999 @TwinklAustralia @VMN_alex A good suggestion David - especially since all my current attempts have failed to reach the target exactly - I'm hoping someone finds the solution tomorrow night #MathsTalk","Twitter Web App",172,"x1318790500426555392","x2830761913","DavidKButlerUoA",FALSE,FALSE,3,0,,,"MathsTalk",,,,,,,,,,,,,"x2830761913 x569778246 x26457589 x3243736579 x534195386 x2837188124 x145258405 x958993013702709249 x1892893999 x224521928 x4874239169 x3831280813","DavidKButlerUoA MikeNelson009 MisforMaths missmath8 mmap73 nadia_abdelal pinder03 SandyNicoll2018 StaplesMitchell ticky999 TwinklAustralia VMN_alex","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1318791387865776128","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319201836327424000",2020-10-22 09:00:02,"AMSIschools","Welcome to #MathsTalk 
Please introduce yourself and share something in maths you found challenging
Please remember to include the hashtag #MathsTalk in any responses https://t.co/tR4lyShmkT","TweetDeck",166,,,,FALSE,FALSE,3,1,,,"MathsTalk MathsTalk",,,,,"http://pbs.twimg.com/media/Ekzv2EBUUAAeXI_.jpg","https://t.co/tR4lyShmkT","https://twitter.com/AMSIschools/status/1319201836327424000/photo/1","photo","http://pbs.twimg.com/media/Ekzv2EBUUAAeXI_.jpg","https://t.co/tR4lyShmkT","https://twitter.com/AMSIschools/status/1319201836327424000/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319201836327424000","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1318787505722851329",2020-10-21 05:33:37,"AMSIschools","@missmath8 @MikeNelson009 @MisforMaths @mmap73 @nadia_abdelal @pdnrobertson @pinder03 @SandyNicoll2018 @StaplesMitchell @ticky999 @TwinklAustralia @VMN_alex This website shows how it was created #MathsTalk 
https://t.co/CrwYZ9RAXm","Twitter Web App",73,"x1318786771765710850","x3243736579","missmath8",FALSE,FALSE,3,1,,,"MathsTalk",,"teachersmag.com/posts/painters…","https://t.co/CrwYZ9RAXm","http://teachersmag.com/posts/painters-tape-sidewalk-chalk-activity-idea",,,,,,,,,"x3243736579 x569778246 x26457589 x534195386 x2837188124 x145258405 x958993013702709249 x1892893999 x224521928 x4874239169 x3831280813","missmath8 MikeNelson009 MisforMaths mmap73 nadia_abdelal pinder03 SandyNicoll2018 StaplesMitchell ticky999 TwinklAustralia VMN_alex","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1318787505722851329","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1318098307445555205",2020-10-19 07:55:00,"AMSIschools","Pass the Count is a great game for small groups of students to practice their counting skills #MathsTalk #iteachmath #MTBoS
https://t.co/85znE5bJZu","TweetDeck",147,,,,FALSE,FALSE,0,2,,,"MathsTalk iteachmath MTBoS",,"calculate.org.au/2018/09/26/pas…","https://t.co/85znE5bJZu","https://calculate.org.au/2018/09/26/pass-the-count/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1318098307445555205","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1318786593197592576",2020-10-21 05:30:00,"AMSIschools","Here are the questions for tomorrow night's puzzle solving #MathsTalk chat - we hope you can join us! @Andreaakaz
@AnnaBockMaths
@AshaRaoRMIT
@AusTeacherRiss
@beckcasey007
@cass_lowry
@Devanjana_
@DoonaB1123
@ELiveELove
@EmpowerDigiTech
@FishyKes
@gould_peter
@hamma_town https://t.co/yqUVdGkVVI","TweetDeck",271,,,,FALSE,FALSE,8,1,,,"MathsTalk",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1318707341911498754/pu/img/lAu0FyvlGQwltMAX.jpg","https://t.co/yqUVdGkVVI","https://twitter.com/AMSIschools/status/1318786593197592576/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1318707341911498754/pu/img/lAu0FyvlGQwltMAX.jpg","https://t.co/yqUVdGkVVI","https://twitter.com/AMSIschools/status/1318786593197592576/video/1",,"x1602874825 x1133583369759891458 x1094048100564365312 x955658210207088640 x614686039 x1627164620 x45113192 x780628367196377088 x733493639658143746 x860494450375614466 x1935606913 x415319707 x803850703005487108","Andreaakaz AnnaBockMaths AshaRaoRMIT AusTeacherRiss beckcasey007 cass_lowry Devanjana_ DoonaB1123 ELiveELove EmpowerDigiTech FishyKES gould_peter hamma_town","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1318786593197592576","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1320618161331294214",2020-10-26 06:48:00,"AMSIschools","Looking for some new maths games ideas? Check out these suggestions from @MathforLove #MathsTalk #iteachmath #MTBoS 
https://t.co/5hSCppug8w","TweetDeck",140,,,,FALSE,FALSE,0,2,,,"MathsTalk iteachmath MTBoS",,"mathforlove.com/lessons/games/","https://t.co/5hSCppug8w","https://mathforlove.com/lessons/games/",,,,,,,,,"x210162594","MathforLove","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320618161331294214","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1317749005779038208",2020-10-18 08:47:00,"AMSIschools","Why did the mathematician cross the road? Check out this @numberphile video to discover more #MathsTalk #iteachmath #MTBoS 
https://t.co/FFVaNtQZSG","TweetDeck",147,,,,FALSE,FALSE,0,2,,,"MathsTalk iteachmath MTBoS",,"numberphile.com/videos/podcast…","https://t.co/FFVaNtQZSG","https://www.numberphile.com/videos/podcast-roger-penrose",,,,,,,,,"x393621632","numberphile","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1317749005779038208","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1318051247304343555",2020-10-19 04:48:00,"AMSIschools","Over the last few days on Twitter the BODMAS/BIDMAS etc. has been raging again - this activity focuses on helping students find solutions to problems in help them better understand the order of operations #MathsTalk #iteachmath #MTBoS 
https://t.co/r2rUZL9rdi","TweetDeck",259,,,,FALSE,FALSE,1,2,,,"MathsTalk iteachmath MTBoS",,"calculate.org.au/2017/11/26/fou…","https://t.co/r2rUZL9rdi","https://calculate.org.au/2017/11/26/four-fours-order-operations/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1318051247304343555","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1320586955705491457",2020-10-26 04:44:00,"AMSIschools","Here is a tasty geometry investigation for students #MathsTalk #iteachmath #MTBoS 
https://t.co/PJZUJQKPxv","TweetDeck",106,,,,FALSE,FALSE,0,2,,,"MathsTalk iteachmath MTBoS",,"calculate.org.au/2016/02/19/the…","https://t.co/PJZUJQKPxv","https://calculate.org.au/2016/02/19/the-geometry-and-algebra-of-honeycomb/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320586955705491457","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1319209379313319936",2020-10-22 09:30:00,"AMSIschools","Thanks for joining #MathsTalk tonight and taking part in the challenges
Have a good week everyone - hopefully we'll be out of #lockdown soon https://t.co/tw4WCO06nf","TweetDeck",140,,,,FALSE,FALSE,4,0,,,"MathsTalk lockdown",,,,,"http://pbs.twimg.com/media/Ekz1UcAVMAEvNfD.jpg","https://t.co/tw4WCO06nf","https://twitter.com/AMSIschools/status/1319209379313319936/photo/1","photo","http://pbs.twimg.com/media/Ekz1UcAVMAEvNfD.jpg","https://t.co/tw4WCO06nf","https://twitter.com/AMSIschools/status/1319209379313319936/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1319209379313319936","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
"x1959849440","x1320518678962581504",2020-10-26 00:12:41,"AMSIschools","@cass_lowry Here is some background information about coordinate geometry #MathsTalk #iteachmath #MTBoS 
https://t.co/lqAK4IIkod","TweetDeck",116,"x1320506585597136897","x1959849440","AMSIschools",FALSE,FALSE,1,2,,,"MathsTalk iteachmath MTBoS",,"amsi.org.au/teacher_module…","https://t.co/lqAK4IIkod","https://amsi.org.au/teacher_modules/Introduction_to_coordinate_geometry.html",,,,,,,,,"x1627164620","cass_lowry","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AMSIschools/status/1320518678962581504","AMSI Schools","Australia","Schools arm of @DiscoverAMSI, supporting Australian maths educators and encouraging everyone to #CHOOSEMATHS - hosted by @cass_lowry","https://t.co/xwKI6NFQTz",FALSE,1549,2106,14,3855,2573,2013-10-14 03:28:02,FALSE,"https://t.co/xwKI6NFQTz","http://amsi.org.au",,"https://pbs.twimg.com/profile_banners/1959849440/1560910430","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/821916428513124352/n1DVL77Z_normal.jpg"
